"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevant Excerpt","Abstract"
"The Accuracy of Species Tree Estimation under Simulation: A Comparison of Methods","https://scispace.com/paper/leache-and-rannala-2011-the-accuracy-of-species-tree-uucu6e1q","2010","","Systematic Biology","Adam D. Leaché
Bruce Rannala","10.1093/sysbio/syq073","https://scispace.com/records/leache-and-rannala-2011-the-accuracy-of-species-tree-uucu6e1q","1. Species Tree Inference:
 These methods (described below) included data concatenation, Bayesian concordance analysis, and models that incorporate the multispecies coalescent (maximum likelihood [ML] using gene trees and Bayesian inference).","Numerous simulation studies have investigated the accuracy of phylogenetic inference of gene trees under maximum parsimony, maximum likelihood, and Bayesian techniques. The relative accuracy of species tree inference methods under simulation has received less study. The number of analytical techniques available for inferring species trees is increasing rapidly, and in this paper, we compare the performance of several species tree inference techniques at estimating recent species divergences using computer simulation. Simulating gene trees within species trees of different shapes and with varying tree lengths (T) and population sizes (θ), and evolving sequences on those gene trees, allows us to determine how phylogenetic accuracy changes in relation to different levels of deep coalescence and phylogenetic signal. When the probability of discordance between the gene trees and the species tree is high (i.e., T is small and/or θ is large), Bayesian species tree inference using the multispecies coalescent (BEST) outperforms other methods. The performance of all methods improves as the total length of the species tree is increased, which reflects the combined benefits of decreasing the probability of discordance between species trees and gene trees and gaining more accurate estimates for gene trees. Decreasing the probability of deep coalescences by reducing θ also leads to accuracy gains for most methods. Increasing the number of loci from 10 to 100 improves accuracy under difficult demographic scenarios (i.e., coalescent units < 4Ne), but 10 loci are adequate for estimating the correct species tree in cases where deep coalescence is limited or absent. In general, the correlation between the phylogenetic accuracy and the posterior probability values obtained from BEST is high, although posterior probabilities are overestimated when the prior distribution for θ is misspecified. [Coalescence; gene trees; incomplete lineage sorting; multilocus data; phylogeny reconstruction; simulation; tree shape.]"
"Identification, Abundance, and Behaviour of Galagos (Primates, Galagidae) in the Shire Highlands, Malawi","https://scispace.com/paper/wallace-identification-abundance-and-behaviour-of-galagos-x6a4u7gw","2005","","","Graham Edward Wallace","","https://scispace.com/records/wallace-identification-abundance-and-behaviour-of-galagos-x6a4u7gw","1. INTRODUCTION:
 Molecular techniques are increasingly used to elucidate this process by reconstructing the evolutionary history of galagos and estimating genetic distances between them .

2. BACKGROUND:
 Although galagos (Order Primates, Family Galagidae) are extensively distributed across sub-Saharan Africa as a taxonomic group, many species of galago continue to be only partially described both in terms of and throughout their range .","Although galagos are extensively distributed across sub-Saharan Africa as a taxonomic group, many species are only partially described both in terms of and throughout their range. In particular, there is a lack of data for species occurring in the Shire Highlands of Malawi, and one form at Thyolo Mountain awaits description. The aims of the study where to address existing data deficiencies by (i) identifying and describing the species of galago occurring in Malawi's Shire Highlands, (ii) assessing their distribution and relative abundance, (iii) providing insights into their behaviour, and (iv) gathering information with regard to human impacts that impinge upon their current and future conservation status. Assessment of the inter-relationships between these factors is fundamental to ensuring the long-term viability of galago populations in the region. Vocalisation analysis, compilation of call profiles, descriptions of morphology, systematic surveys, behaviour observations, and assessments of substrate-use were completed to identify two species of galago in the Shire Highlands (Galagoides granti and Otolemur crassicaudatus), determine their distribution and relative abundance on the basis of encounter rates, construct activity budgets, and compile substrate-use profiles that reflect habitat preferences across the region. Vocal repertoires were compiled for each species, and preliminary information regarding human impacts and disturbance was acquired. The results of the study not only contribute to clarification of galago diversity but also provide valuable preliminary data fundamental to management and conservation of galagos across the Shire Highlands."
"Is Recombination a Problem for Species-Tree Analyses?","https://scispace.com/paper/2012laniesknowlesisrecombsb-mq5ftto2","2012","","Systematic Biology","Hayley C. Lanier
L. Lacey Knowles","","https://scispace.com/records/2012laniesknowlesisrecombsb-mq5ftto2","1. DISCUSSION:
 Coalescent methods for species-tree reconstruction","As the field of phylogenetics transitions into phylogenomics it has spurred a shift in the general paradigm for data analysis whereby specific dataset attributes can now be considered in a model-based framework. Much effort has been put in to modeling the effects of nucleotide substitution within a genealogy (i.e., modeling mutations; Felsenstein 2005) and the sorting genes between lineages (i.e., coalescence; Knowles and Kubatko 2010), both of which are inherent properties of all species histories. Improvements in accuracy of species-tree estimation related to using models that account for these two sources of uncertainty have been well documented (Carstens and Knowles 2007; Edwards et al. 2007; Kubatko and Degnan 2007), but these are clearly not the only sources of gene-tree species-tree discordance. As the field transitions towards using multilocus data, the role of other inherent dataset properties that may be sources of uncertainty, such as intralocus recombination, needs to be examined and quantified. As all species-tree methods in current use rely on the simplifying assumption that recombination occurs between but not within loci, ignoring the presence of recombination represents a widespread and ubiquitous violation of species-tree models. Recombination within a locus may be a greater problem for species-tree methodologies than for concatenation because species-tree methods more accurately model the patterns arising from coalescent stochasticity. Concatenation assumes all genes share a common underlying tree, a model violated by most multilocus data (Knowles and Carstens 2007; Cranston 2010; Linnen 2010; Wiens et al. 2010). The failure to recognize recombination events may result in a mismatch between estimated gene trees and the true genealogies (Fig. 1). This discord is necessarily smaller relative to the discord of ignoring both recombination and making the assumption that all loci would have the same genealogy (i.e., ignoring coalescent variance), as when data are concatenated. Nevertheless, because coalescent methods for species-tree estimation explicitly model each gene tree separately, the relative contribution of recombination to the uncertainty of the estimated species tree may be substantial. Challenges posed by recombination may also be greatest for species-tree methods that rely on estimating parameters related to the scaled mutation rate (Liu 2008; Liu et al. 2008; Heled and Drummond 2010) because recombination-introduced heterogeneity may interfere with branch length estimates or for species-tree methods that do not fully account for gene-tree uncertainty (Maddison and Knowles 2006; Kubatko et al, 2009). Lastly, recombination may interact with other aspects of the speciation history, such as time to divergence, population size, the length of time between speciation events, and sampling effort (McCormack et al. 2009). For example, recombination events occurring in recently speciated groups may not have accumulated a sufficient number of mutations for the effects to be problematic (see Fig. 1). Unlike coalescent events, which are treelike and depend on waiting time to coalescence, accounting for both coalescence and recombination requires an ancestral recombination graph with a mathematically complex series of reticulations (Hein et al. 2005; Wakeley 2009). Because of the complexity introduced by recombination, no species-tree reconstruction method (in current use) deals with it explicitly. Options do exist for simulating the process of coalescence with recombination as it affects a genealogy, though, and these may be useful for understanding the effects of recombination in species-tree estimation. Hudson's (1983) formulation models coalescence and recombination as two competing exponentially-distributed events which differ in their relationship to population size. The rate of coalescence is proportional to the square of the number of ancestors whereas recombination rate increases linearly with ancestral population size (Hein et al. 2005), meaning that coalescense will always be more prevalent in a dataset than recombination. Furthermore, not all recombination events are likely to have the same effect on gene-tree quality. Looking backwards through time, recombination events can be divided into three categories relative to coalescence (Fig. 1; Hein et al. 2005): a) recombination followed by coalescence between recombining sequences producing no change to topology or branch length, b) recombination followed by coalescence with another sequence and then with the other recombining lineage changing branch length but not topology, and c) recombining sequences each coalesce first with other genes affecting both branch length and topology. These three types of recombination events are expected to affect the accuracy of species-tree reconstructions to different degrees given they will contribute varying types of gene-tree species-tree discord. Moreover, directly modeling them in a species-tree framework may be difficult due to the nearly infinite number of ancestral states they generate. This raises the legitimate question of how recombination should be dealt with. Should we be removing loci that show the signature of recombination? Or should we proceed with species-tree analyses, despite recombination within loci? In general, recombination with respect to species-tree reconstruction has been little discussed. Where mentioned, the opinions on the subject differ widely. Some authors consider recombination to be of little interest to species-tree reconstruction (Ané 2010), but others note that it may lead to important consequences (Edwards 2009). There has also been a lack of studies that explicitly address recombination and the effect that it has on species-tree inference, with the exception of one study (Castillo-Ramírez et al. 2010). However, because this study artificially represented the effects of recombination in multilocus datasets by swapping branches randomly among taxa in the respective gene trees, the results are difficult to interpret (i.e., it is unclear the extent to which the genealogical discord generated falls within the natural range of recombination rates). It may be that any negative effect on the quality of species-tree inference has more to do with the manner in which recombination was represented in the simulation (Castillo-Ramírez et al. 2010). Given this ambiguity, and the fairly pervasive source of uncertainty that recombination potentially poses for species-tree estimates, explicit tests of whether species-tree estimates are susceptible to or robust to intralocus recombination are very much needed."
"Bayesian Inference of Species Trees from Multilocus Data","https://scispace.com/paper/heled-and-drummond-2010-bayesian-inference-of-species-trees-ckv57tjl","2009","","Molecular Biology and Evolution","Joseph Heled
Alexei J. Drummond","10.1093/molbev/msp274","https://scispace.com/records/heled-and-drummond-2010-bayesian-inference-of-species-trees-ckv57tjl","1. Introduction:
 A number of researchers have taken advantage of the multispecies coalescent model to develop methods that reconcile a set of gene trees with a shared species tree .

2. Introduction:
 In this paper, we will term models that emphasize incomplete lineage sorting as the main source of inconsistency between gene trees and species trees, ""multispecies coalescent models.""

3. Abstract:
 Here, we present a Bayesian Markov chain Monte Carlo method for the multispecies coalescent. Our method coestimates multiple gene trees embedded in a shared species tree along with the effective population size of both extant and ancestral species.","Until recently, it has been common practice for a phylogenetic analysis to use a single gene sequence from a single individual organism as a proxy for an entire species. With technological advances, it is now becoming more common to collect data sets containing multiple gene loci and multiple individuals per species. These data sets often reveal the need to directly model intraspecies polymorphism and incomplete lineage sorting in phylogenetic estimation procedures. For a single species, coalescent theory is widely used in contemporary population genetics to model intraspecific gene trees. Here, we present a Bayesian Markov chain Monte Carlo method for the multispecies coalescent. Our method coestimates multiple gene trees embedded in a shared species tree along with the effective population size of both extant and ancestral species. The inference is made possible by multilocus data from multiple individuals per species. Using a multiindividual data set and a series of simulations of rapid species radiations, we demonstrate the efficacy of our new method. These simulations give some insight into the behavior of the method as a function of sampled individuals, sampled loci, and sequence length. Finally, we compare our new method to both an existing method (BEST 2.2) with similar goals and the supermatrix (concatenation) method. We demonstrate that both BEST and our method have much better estimation accuracy for species tree topology than concatenation, and our method outperforms BEST in divergence time and population size estimation."
"A coalescent perspective on delimiting and naming species: a reply to Bauer et al.","https://scispace.com/paper/fujita-and-leache-2011-a-coalescent-perspective-on-016ld7s0","2010","","Proceedings of the Royal Society B: Biological Sciences","Matthew K. Fujita
Adam D. Leaché","10.1098/rspb.2010.1864","https://scispace.com/records/fujita-and-leache-2011-a-coalescent-perspective-on-016ld7s0","1. MULTI-LOCUS, COALESCENT-BASED METHODS INCREASE OBJECTIVITY IN SPECIES DELIMITATION:
 Multi-locus data also capture the stochasticity inherent in the coalescent, including gene tree incongruence stemming from incomplete lineage sorting, variation in molecular sequences and variation in demographic parameters , all of which must be modelled to achieve accurate species delimitation with molecular genetic data.",""
"Multiple nuclear loci reveal patterns of incomplete lineage sorting and complex species history within western mouse lemurs (Microcebus)","https://scispace.com/paper/heckman-et-al-2007-multiple-nuclear-loci-reveal-patterns-of-sgfom0ih","2007","","Molecular Phylogenetics and Evolution","Kellie L. Heckman
Carol L. Mariani
Rodin Rasoloarison
Anne D. Yoder","10.1016/j.ympev.2007.03.005","https://scispace.com/records/heckman-et-al-2007-multiple-nuclear-loci-reveal-patterns-of-sgfom0ih","1. The need for a multilocus perspective:
 Each locus is also analyzed using phylogenetic methods to estimate the species history, both individually and as a concatenated sequence (i.e., the combined data approach).

2. The need for a multilocus perspective:
 Thus, for this study, we include both separate and combined analyses to allow for comparisons of trees derived from both approaches and also to determine the impact that combining data has on phylogenetic inference.

3. The need for a multilocus perspective:
 A combined approach has been favored by many to fully utilize genetic information in deriving phylogenetic estimates , despite the potential ill effects of incomplete lineage sorting and independent evolution among genomes.","Mouse lemurs (genus Microcebus) are nocturnal primates endemic to the island of Madagascar. Until recently, they were classified as two species, one from eastern and one from western Madagascar. Previously published analyses of morphometric and mitochondrial DNA data show strong support for the recognition of more than eight species, however. Here, we test the eight-species hypothesis with DNA data derived from four independently segregating nuclear loci. We find many areas of congruence between the mitochondrial and nuclear data, but incomplete lineage sorting and low mutation rates limit the phylogenetic resolution of the nuclear data. Even so, the nuclear loci unanimously find evidence for three deeply diverged lineages within the mouse lemur radiation: one that is congruent with the mtDNA ""southern clade"", another that is congruent with the mtDNA ""northern clade"", and one monospecific branch comprised of the species Microcebus ravelobensis. The latter result in particular emphasizes the need for careful biological study of this species. ©2007 Elsevier Inc. All rights reserved."
"AFRICAN PRIMATES: The Journal of the Africa Section of the IUCN/SSC Primate Specialist Group","https://scispace.com/paper/stoinski-the-journal-of-the-africa-section-of-the-iucnssc-oa0yg117","2002","","African Primates","","","https://scispace.com/records/stoinski-the-journal-of-the-africa-section-of-the-iucnssc-oa0yg117","1. Results:
 MP and ML topologies weakly support more recent common ancestry of other galagid genera, with Euoticus excluded. Alternative topologies, placing Euoticus within the Galago, Galagoides, and Otolemur group would require eight additional steps on the most parsimonious reconstruction.

2. Results:
 Phylogenetic reconstructions (ML) from partial cytochrome b sequences using data from this study in combination with published sequences  both resolve and conflict interpretations of relationships among galagid taxa (figure ).",""
"AFRICAN PRIMATES: The Journal of the Africa Section of the IUCN/SSC Primate Specialist Group","https://scispace.com/paper/stoinski-the-journal-of-the-africa-section-of-the-iucnssc-9zfos27b","2002","","African Primates","","","https://scispace.com/records/stoinski-the-journal-of-the-africa-section-of-the-iucnssc-9zfos27b","1. Results:
 MP and ML topologies weakly support more recent common ancestry of other galagid genera, with Euoticus excluded. Alternative topologies, placing Euoticus within the Galago, Galagoides, and Otolemur group would require eight additional steps on the most parsimonious reconstruction.

2. Results:
 Phylogenetic reconstructions (ML) from partial cytochrome b sequences using data from this study in combination with published sequences  both resolve and conflict interpretations of relationships among galagid taxa (figure ).",""
"Accuracy and Precision of Species Trees: Effects of Locus, Individual, and Base Pair Sampling on Inference of Species Trees in Lizards of the Liolaemus darwinii Group (Squamata, Liolaemidae)","https://scispace.com/paper/camargo-et-al-2012-accuracy-and-precision-of-species-trees-acrrpqxv","2012","","Systematic Biology","Arley Camargo
Luciano J. Avila
Mariana Morando
Jack W. Sites Jr.","10.1093/sysbio/syr105","https://scispace.com/records/camargo-et-al-2012-accuracy-and-precision-of-species-trees-acrrpqxv","1. Performance:
 Our evaluation of species-tree inference using a coalescent-based method is valid as long as genetree heterogeneity was a result of incomplete lineage sorting only. When including multiple individuals for reconstruction of species trees, sampling from phylogeographic lineage boundaries might obfuscate phylogenetic signal due to gene flow between species (Leache 2009).","Molecular phylogenetics has entered a new era in which species trees are estimated from a collection of gene trees using methods that accommodate their heterogeneity and discordance with the species tree. Empirical evaluation of species trees is necessary to assess the performance (i.e., accuracy and precision) of these methods with real data, which consists of gene genealogies likely shaped by different historical and demographic processes. We analyzed 20 loci for 16 species of the South American lizards of the Liolaemus darwinii species group and reconstructed a species tree with *BEAST, then compared the performance of this method under different sampling strategies of loci, individuals, and sequence lengths. We found an increase in the accuracy and precision of species trees with the number of loci, but for any number of loci, accuracy substantially decreased only when using only one individual per species or 25% of the full sequence length (~147 bp). In addition, locus ""informativeness"" was an important factor in the accuracy/precision of species trees when using a few loci, but it became increasingly irrelevant with additional loci. Our empirical results combined with the previous simulation studies suggest that there is an optimal range of sampling effort of loci, individuals, and sequence lengths for a given speciation history and information content of the data. Future studies should be directed toward further assessment of other factors that can impact performance of species trees, including gene flow, locus ""informativeness,"" tree shape, missing data, and errors in species delimitation. [Accuracy; coalescent; Liolaemus; phylogeny; precision; sampling; South America; species trees.]"
"Phylogenetic Relationships Among Malagasy Lemurs as Revealed by Mitochondrial DNA Sequence Analysis","https://scispace.com/paper/del-pero-et-al-1995-phylogenetic-relationships-among-iw57wn0r","1995","","PRIMATES","M. Del Pero
S. Crovella
P. Cervella
G. Ardito
Y. Rumpler","","https://scispace.com/records/del-pero-et-al-1995-phylogenetic-relationships-among-iw57wn0r","1. PHYLOGENETIC RECONSTRUCTION METHODS:
 All phylogenetic trees were rooted with Tupaia glis (Scandentia) as outgroup taxon because this species is regarded as divergent relative to the other primate taxa analyzed.

2. PHYLOGENETIC RECONSTRUCTION METHODS:
 A tree was constructed by stepwise clustering the genetic distances with the Neighbor-joining method that allows different evolutionary rate of change . In alternative to characterstate and distance matrix methods, the maximum-likelihood approach was adopted to produce an additional tree .

3. PHYLOGENETIC RECONSTRUCTION METHODS:
 This statistical method explicitly assumes a probabilistic model of character evolution in order to make historical inferences. The algorithm compares the tree constructed from the given data set against a mathematical model and determines its probability. The tree with the maximum likelihood value is thought to be the correct one.","Systematics and evolution of Malagasy lemurs has been analyzed using morphological characters, fossil evidence, ecological/ethological data, and chromosomal banding patterns. Recent developments in DNA technology have provided evolutionary biologists with additional and powerful tools for making phylogenetic inference. In the last years several studies concerning highly repeated DNA sequences (hrDNA) provided new insights about the systematic relationships among the different species of Lemuridae and Cheirogaleidae. Here, a reconstruction of molecular phylogeny of extant Malagasy lemurs based on the comparison of cytochrome-b mitochondrial DNA sequences is presented. With the Polymerase Chain Reaction (PCR) and direct sequencing of amplified DNA fragments, both the phylogenetic range and resolving power of comparative analysis can be extended. These techniques allow to gather sequence data useful to evaluate the pattern of molecular evolution offering opportunities for phylogenetic purposes. A 290-bp fragment of cytochrome-b gene has been amplified and sequenced from the following species: Tupaia glis, Galago alleni, Daubentonia madagascariensis, Indri indri, Varecia variegata, Eulemur fulvus, Eulemur coronatus, Eulemur rubriventer, Eulemur mongoz, Eulemur macaco, Lemur catta, and Hapalemur griseus griseus. The phylogenetic trees obtained show the relationships among the Eulemur species and confirm the karyological and hrDNA results of a separated clade for L. catta/Hapalemur. The separation of Varecia variegata from the other genus of the family Lemuridae is discussed."
